Vehicle_ID,Brand,Model,Vehicle_Type,State,City,Model_Year,Registration_Date,Battery_Capacity_kWh,Electric_Range_km,Charging_Time_Hours,Price_INR,Fast_Charging
49,BYD,Atto 3,PHEV,Gujarat,Ahmedabad,2023,2026-01-05,75,512,4.5,751360,Yes
50,Hyundai,Kona Electric,PHEV,Maharashtra,Pune,2023,2022-11-22,70,356,1.5,1341361,No
51,Kia,EV6,BEV,Maharashtra,Pune,2024,2023-10-12,67,457,2.5,2937455,No
52,Mahindra,XUV400,BEV,Delhi,New Delhi,2025,2023-11-20,75,298,5.5,2789259,Yes
53,BYD,Atto 3,PHEV,Delhi,New Delhi,2022,2025-05-27,64,373,2.5,4044121,No
54,MG,ZS EV,BEV,Gujarat,Ahmedabad,2023,2025-08-06,76,189,5.5,2688308,No
55,MG,Comet EV,PHEV,Gujarat,Ahmedabad,2023,2025-06-09,40,296,3.5,2476439,No
56,Kia,EV6,BEV,Karnataka,Bengaluru,2025,2026-02-08,52,260,1.5,2548651,No
57,Kia,EV6,BEV,Delhi,New Delhi,2025,2022-09-16,35,499,4.5,2207714,No
58,Hyundai,Kona Electric,BEV,Maharashtra,Pune,2024,2022-05-13,55,423,6.5,3141962,Yes
59,Hyundai,Kona Electric,BEV,Tamil Nadu,Chennai,2025,2022-11-18,35,285,2.5,2322716,Yes
60,Kia,EV6,PHEV,Gujarat,Ahmedabad,2026,2022-11-23,74,548,6.5,1748808,Yes
61,MG,Comet EV,PHEV,Karnataka,Bengaluru,2026,2024-06-26,56,374,5.5,3441107,No
62,Hyundai,Kona Electric,BEV,Gujarat,Ahmedabad,2024,2022-05-21,67,302,1.5,3026710,Yes
63,Tata,Punch EV,PHEV,Tamil Nadu,Chennai,2025,2022-04-30,39,513,8.5,4335011,Yes
64,BYD,Atto 3,PHEV,Delhi,New Delhi,2022,2024-10-23,62,496,7.5,3429099,No
65,Hyundai,Kona Electric,BEV,Maharashtra,Pune,2022,2024-12-21,58,464,7.5,2749577,Yes
66,Kia,EV6,PHEV,Maharashtra,Mumbai,2024,2022-03-02,61,266,4.5,3607339,Yes
67,Tata,Nexon EV,PHEV,Maharashtra,Pune,2025,2025-10-23,61,486,8.5,1337430,No
68,Tata,Punch EV,PHEV,Tamil Nadu,Chennai,2022,2024-04-02,56,189,5.5,3708931,Yes
69,BYD,Atto 3,BEV,Delhi,New Delhi,2026,2022-02-04,75,482,8.5,3475319,Yes
70,MG,Comet EV,BEV,Karnataka,Bengaluru,2022,2022-03-24,51,245,4.5,2563204,Yes
71,MG,Comet EV,BEV,Tamil Nadu,Chennai,2024,2025-10-28,26,498,6.5,2817958,No
72,Hyundai,Kona Electric,PHEV,Tamil Nadu,Chennai,2023,2025-04-12,69,364,7.5,3540925,Yes
73,Tata,Nexon EV,PHEV,Delhi,New Delhi,2026,2023-01-19,70,336,7.5,1088497,Yes
74,BYD,Atto 3,BEV,Gujarat,Ahmedabad,2025,2024-10-15,48,201,7.5,708844,No
75,Mahindra,XUV400,BEV,Tamil Nadu,Chennai,2026,2022-03-29,64,213,3.5,3792029,Yes
76,Mahindra,XUV400,PHEV,Maharashtra,Pune,2026,2025-09-14,35,267,4.5,833767,No
77,Hyundai,Kona Electric,PHEV,Maharashtra,Pune,2025,2023-08-25,78,282,2.5,2895764,No
78,Kia,EV6,BEV,Maharashtra,Pune,2023,2024-03-30,55,183,4.5,3633687,No
79,MG,Comet EV,PHEV,Gujarat,Ahmedabad,2024,2023-11-15,31,321,7.5,1075760,No
80,MG,ZS EV,PHEV,Gujarat,Ahmedabad,2022,2024-08-06,75,198,1.5,2017949,No
81,Mahindra,XUV400,BEV,Tamil Nadu,Chennai,2025,2025-03-23,76,282,7.5,2691550,Yes
82,Mahindra,XUV400,BEV,Tamil Nadu,Chennai,2025,2022-06-04,54,237,3.5,4479201,No
83,MG,Comet EV,BEV,Tamil Nadu,Chennai,2023,2022-08-21,70,439,3.5,1733657,No
84,BYD,Atto 3,PHEV,Karnataka,Bengaluru,2023,2025-03-30,57,184,6.5,2103350,Yes
85,Kia,EV6,BEV,Maharashtra,Pune,2024,2023-04-15,40,446,5.5,1793113,No
86,Hyundai,Kona Electric,PHEV,Delhi,New Delhi,2024,2025-01-15,34,307,7.5,3799217,Yes
87,Hyundai,Kona Electric,BEV,Maharashtra,Mumbai,2025,2022-10-18,55,214,1.5,4428869,Yes
88,Tata,Nexon EV,PHEV,Gujarat,Ahmedabad,2023,2022-09-06,24,267,1.5,4167976,No
89,Tata,Punch EV,PHEV,Maharashtra,Mumbai,2025,2024-02-13,76,372,5.5,3859202,Yes
90,Mahindra,XUV400,BEV,Maharashtra,Mumbai,2025,2025-04-08,64,301,1.5,1246343,Yes
91,MG,ZS EV,PHEV,Maharashtra,Pune,2024,2023-03-22,44,423,6.5,3372571,Yes
92,Hyundai,Kona Electric,PHEV,Delhi,New Delhi,2025,2024-04-09,70,404,1.5,3049127,Yes
93,Kia,EV6,BEV,Gujarat,Ahmedabad,2023,2022-07-02,27,218,7.5,2475917,Yes
94,BYD,Atto 3,BEV,Tamil Nadu,Chennai,2025,2025-11-17,59,218,1.5,2687282,Yes
95,BYD,Atto 3,PHEV,Maharashtra,Mumbai,2023,2025-07-27,73,502,7.5,3277179,No
96,MG,ZS EV,BEV,Maharashtra,Mumbai,2025,2022-12-10,29,444,6.5,3252576,No
97,Mahindra,XUV400,PHEV,Karnataka,Bengaluru,2023,2022-11-23,79,212,3.5,3816242,Yes
98,Hyundai,Kona Electric,BEV,Tamil Nadu,Chennai,2025,2023-01-07,74,181,6.5,3337243,Yes
99,Tata,Punch EV,BEV,Maharashtra,Mumbai,2022,2022-01-26,60,381,2.5,3727619,No
100,BYD,Atto 3,BEV,Maharashtra,Pune,2023,2025-08-24,49,501,4.5,1865132,Yes
101,MG,ZS EV,PHEV,Maharashtra,Pune,2022,2023-05-13,28,460,6.5,3642638,Yes
102,Hyundai,Kona Electric,PHEV,Delhi,New Delhi,2023,2022-06-21,75,375,4.5,3662217,No
103,Tata,Nexon EV,PHEV,Maharashtra,Pune,2024,2023-08-30,65,503,6.5,3792061,No
104,Mahindra,XUV400,BEV,Maharashtra,Pune,2026,2025-10-22,67,428,3.5,4025588,No
105,Kia,EV6,BEV,Gujarat,Ahmedabad,2026,2024-07-24,68,444,4.5,2682306,Yes
106,Kia,EV6,PHEV,Maharashtra,Pune,2024,2025-05-23,80,237,4.5,2237899,Yes
107,MG,Comet EV,PHEV,Maharashtra,Pune,2024,2025-05-09,25,350,5.5,1007858,No
108,Tata,Punch EV,BEV,Gujarat,Ahmedabad,2024,2024-10-30,65,212,4.5,3292273,No
109,MG,ZS EV,BEV,Maharashtra,Mumbai,2025,2022-08-20,51,506,3.5,2023123,Yes
110,MG,ZS EV,PHEV,Maharashtra,Mumbai,2026,2025-03-05,56,308,7.5,3475720,Yes
111,Hyundai,Kona Electric,BEV,Maharashtra,Pune,2024,2022-07-31,52,504,5.5,2053409,No
112,Mahindra,XUV400,BEV,Delhi,New Delhi,2025,2025-05-10,60,367,8.5,1034124,Yes
113,MG,Comet EV,PHEV,Tamil Nadu,Chennai,2022,2024-06-17,67,236,3.5,911211,Yes
114,BYD,Atto 3,BEV,Tamil Nadu,Chennai,2023,2022-01-14,23,406,6.5,2952009,Yes
115,BYD,Atto 3,PHEV,Gujarat,Ahmedabad,2025,2025-09-30,37,506,7.5,1273508,Yes
116,MG,ZS EV,BEV,Delhi,New Delhi,2026,2025-04-03,67,497,4.5,1058585,No
117,Mahindra,XUV400,BEV,Maharashtra,Pune,2025,2024-07-03,66,502,7.5,3830304,Yes
118,MG,ZS EV,BEV,Tamil Nadu,Chennai,2025,2025-08-08,51,478,3.5,2736097,Yes
119,Mahindra,XUV400,BEV,Karnataka,Bengaluru,2024,2024-08-13,69,306,7.5,3224203,No
120,Kia,EV6,PHEV,Delhi,New Delhi,2022,2025-03-15,71,200,4.5,3794856,Yes
121,Hyundai,Kona Electric,BEV,Tamil Nadu,Chennai,2024,2022-12-21,66,385,6.5,884427,No
122,MG,ZS EV,BEV,Karnataka,Bengaluru,2024,2023-06-30,79,432,6.5,4324379,No
123,Hyundai,Kona Electric,BEV,Maharashtra,Mumbai,2024,2022-05-20,56,449,4.5,1514675,No
124,Mahindra,XUV400,PHEV,Maharashtra,Pune,2022,2024-01-09,38,317,8.5,4337889,No
125,MG,ZS EV,BEV,Delhi,New Delhi,2023,2023-09-25,32,400,6.5,957130,Yes
126,Mahindra,XUV400,PHEV,Karnataka,Bengaluru,2022,2024-08-29,35,219,3.5,3350141,No
127,Hyundai,Kona Electric,BEV,Tamil Nadu,Chennai,2023,2023-01-18,34,550,4.5,2875980,No
128,Kia,EV6,PHEV,Tamil Nadu,Chennai,2023,2026-01-27,40,293,8.5,1797601,Yes
129,Tata,Nexon EV,BEV,Gujarat,Ahmedabad,2025,2025-02-11,20,305,4.5,1111189,Yes
130,Kia,EV6,BEV,Gujarat,Ahmedabad,2023,2025-04-15,40,494,1.5,3316084,Yes
131,Kia,EV6,BEV,Karnataka,Bengaluru,2025,2022-07-29,77,303,2.5,2795123,Yes
132,Mahindra,XUV400,PHEV,Tamil Nadu,Chennai,2025,2025-06-11,79,337,4.5,3943311,No
133,Kia,EV6,PHEV,Tamil Nadu,Chennai,2025,2025-05-07,37,464,5.5,2315173,Yes
134,Hyundai,Kona Electric,PHEV,Tamil Nadu,Chennai,2023,2024-04-05,22,490,4.5,3794307,Yes
135,Kia,EV6,BEV,Maharashtra,Pune,2025,2024-05-26,37,414,5.5,3693503,No
136,Hyundai,Kona Electric,BEV,Delhi,New Delhi,2025,2022-12-19,52,539,7.5,3458370,No
137,Mahindra,XUV400,BEV,Gujarat,Ahmedabad,2024,2025-01-25,45,456,1.5,3513239,Yes
138,Mahindra,XUV400,PHEV,Delhi,New Delhi,2022,2026-01-28,31,443,4.5,4438461,Yes
139,Tata,Nexon EV,BEV,Maharashtra,Pune,2023,2024-12-31,25,461,5.5,1430165,No
140,Tata,Punch EV,BEV,Gujarat,Ahmedabad,2026,2024-05-05,70,342,6.5,898888,No
141,Tata,Nexon EV,PHEV,Maharashtra,Mumbai,2022,2023-01-26,55,354,6.5,1298848,No
142,Hyundai,Kona Electric,PHEV,Karnataka,Bengaluru,2025,2023-04-13,34,394,8.5,4358361,Yes
143,Hyundai,Kona Electric,BEV,Tamil Nadu,Chennai,2026,2022-04-20,29,257,3.5,4316514,Yes
144,Kia,EV6,PHEV,Maharashtra,Pune,2022,2023-11-27,44,487,4.5,1602486,No
145,Tata,Punch EV,BEV,Maharashtra,Pune,2025,2024-01-18,45,403,5.5,3533973,Yes
146,Tata,Punch EV,PHEV,Karnataka,Bengaluru,2023,2023-11-01,46,219,7.5,4006056,No
147,Tata,Nexon EV,PHEV,Karnataka,Bengaluru,2023,2023-03-19,32,412,4.5,3412692,Yes
148,MG,Comet EV,PHEV,Tamil Nadu,Chennai,2026,2022-06-10,78,192,2.5,3737939,Yes
149,MG,ZS EV,PHEV,Gujarat,Ahmedabad,2022,2022-10-10,67,437,5.5,3523360,Yes
150,Tata,Punch EV,PHEV,Maharashtra,Pune,2022,2025-08-08,75,367,3.5,4303486,Yes
151,Kia,EV6,BEV,Tamil Nadu,Chennai,2023,2026-01-25,55,544,4.5,3597794,No
152,Hyundai,Kona Electric,BEV,Maharashtra,Mumbai,2026,2022-09-08,43,186,5.5,3377048,Yes
153,Mahindra,XUV400,BEV,Gujarat,Ahmedabad,2023,2026-01-13,33,438,2.5,2008405,No
154,Mahindra,XUV400,BEV,Gujarat,Ahmedabad,2026,2025-02-23,59,244,4.5,3180805,No
155,BYD,Atto 3,PHEV,Maharashtra,Pune,2026,2025-10-01,44,327,1.5,4028304,No
156,Tata,Punch EV,BEV,Karnataka,Bengaluru,2023,2023-09-01,75,470,7.5,2609437,Yes
157,BYD,Atto 3,PHEV,Gujarat,Ahmedabad,2024,2025-08-09,73,500,1.5,1932028,No
158,Tata,Nexon EV,BEV,Gujarat,Ahmedabad,2026,2025-02-27,75,477,3.5,3225895,Yes
159,Hyundai,Kona Electric,PHEV,Delhi,New Delhi,2023,2022-09-13,49,504,3.5,4205132,Yes
160,Tata,Nexon EV,BEV,Karnataka,Bengaluru,2024,2025-01-06,57,233,1.5,1445397,Yes
161,BYD,Atto 3,PHEV,Delhi,New Delhi,2022,2024-01-22,75,269,2.5,1393881,No
162,Hyundai,Kona Electric,PHEV,Karnataka,Bengaluru,2023,2024-11-12,63,433,5.5,3047698,Yes
163,MG,ZS EV,BEV,Maharashtra,Mumbai,2022,2023-06-15,63,532,1.5,2006743,No
164,MG,ZS EV,PHEV,Gujarat,Ahmedabad,2023,2022-12-30,75,205,1.5,1818684,Yes
165,Hyundai,Kona Electric,BEV,Maharashtra,Pune,2022,2024-10-22,80,431,7.5,4225888,Yes
166,Hyundai,Kona Electric,BEV,Gujarat,Ahmedabad,2025,2023-07-12,56,394,6.5,3585164,Yes
167,MG,ZS EV,PHEV,Tamil Nadu,Chennai,2023,2024-02-25,65,372,6.5,1579832,No
168,Kia,EV6,PHEV,Karnataka,Bengaluru,2023,2024-11-14,50,379,8.5,4317882,Yes
169,Mahindra,XUV400,PHEV,Maharashtra,Pune,2024,2025-10-05,35,361,1.5,3709797,Yes
170,Hyundai,Kona Electric,PHEV,Maharashtra,Pune,2024,2023-05-12,77,413,7.5,2119115,No
171,Mahindra,XUV400,PHEV,Maharashtra,Pune,2025,2023-09-04,61,539,1.5,4172747,No
172,Tata,Nexon EV,BEV,Delhi,New Delhi,2024,2022-03-21,34,382,8.5,1775206,Yes
173,BYD,Atto 3,PHEV,Karnataka,Bengaluru,2024,2025-03-09,32,426,4.5,1593434,Yes
174,Mahindra,XUV400,PHEV,Delhi,New Delhi,2022,2023-06-17,49,194,8.5,2566610,No
175,Hyundai,Kona Electric,BEV,Tamil Nadu,Chennai,2023,2024-05-10,41,264,1.5,2143290,Yes
176,Mahindra,XUV400,PHEV,Tamil Nadu,Chennai,2025,2024-08-22,26,274,1.5,1517150,No
177,Hyundai,Kona Electric,PHEV,Karnataka,Bengaluru,2026,2023-03-19,29,452,3.5,1757091,Yes
178,Hyundai,Kona Electric,BEV,Karnataka,Bengaluru,2026,2024-02-26,28,242,2.5,809022,No
179,BYD,Atto 3,BEV,Tamil Nadu,Chennai,2024,2025-02-08,60,342,8.5,2722123,No
180,MG,Comet EV,PHEV,Tamil Nadu,Chennai,2026,2025-12-09,56,352,8.5,2794092,No
181,Mahindra,XUV400,PHEV,Maharashtra,Mumbai,2022,2025-12-09,38,483,2.5,1256507,Yes
182,Kia,EV6,PHEV,Delhi,New Delhi,2026,2023-08-18,51,351,2.5,4494418,No
183,Mahindra,XUV400,BEV,Tamil Nadu,Chennai,2023,2024-10-23,71,181,3.5,1037476,No
184,Hyundai,Kona Electric,PHEV,Karnataka,Bengaluru,2022,2024-04-27,43,542,7.5,866924,No
185,Tata,Punch EV,BEV,Gujarat,Ahmedabad,2026,2025-02-26,22,275,3.5,2942695,Yes
186,BYD,Atto 3,PHEV,Gujarat,Ahmedabad,2022,2026-02-04,38,323,6.5,4035689,Yes
187,BYD,Atto 3,PHEV,Delhi,New Delhi,2024,2023-10-09,59,333,3.5,1469074,No
188,Hyundai,Kona Electric,PHEV,Gujarat,Ahmedabad,2023,2022-10-04,76,332,5.5,1288865,No
189,Kia,EV6,PHEV,Maharashtra,Mumbai,2022,2023-11-01,68,211,5.5,3155569,Yes
190,Tata,Nexon EV,PHEV,Delhi,New Delhi,2024,2025-09-27,29,361,2.5,2861022,Yes
191,Hyundai,Kona Electric,PHEV,Gujarat,Ahmedabad,2024,2024-03-15,57,519,6.5,1236964,No
192,Hyundai,Kona Electric,PHEV,Maharashtra,Mumbai,2023,2022-04-02,65,350,6.5,3921679,Yes
193,Kia,EV6,BEV,Tamil Nadu,Chennai,2026,2025-04-08,38,288,8.5,1177636,No
194,BYD,Atto 3,PHEV,Maharashtra,Mumbai,2026,2023-05-05,26,524,5.5,2944185,No
195,Kia,EV6,BEV,Gujarat,Ahmedabad,2025,2022-10-14,57,233,7.5,3729778,No
196,MG,ZS EV,PHEV,Maharashtra,Mumbai,2026,2022-03-01,61,377,2.5,1226862,No
197,Hyundai,Kona Electric,PHEV,Gujarat,Ahmedabad,2025,2023-11-05,76,362,7.5,4111678,No
198,Kia,EV6,BEV,Gujarat,Ahmedabad,2025,2024-09-29,65,495,3.5,4362710,No
199,MG,Comet EV,BEV,Tamil Nadu,Chennai,2026,2025-09-28,38,506,8.5,3924138,Yes
200,Mahindra,XUV400,PHEV,Tamil Nadu,Chennai,2023,2024-04-16,54,427,6.5,4351001,No
201,Kia,EV6,BEV,Tamil Nadu,Chennai,2022,2024-03-14,42,297,6.5,1914182,No
202,Kia,EV6,BEV,Karnataka,Bengaluru,2026,2023-11-21,66,330,4.5,2577354,Yes
203,MG,Comet EV,BEV,Maharashtra,Pune,2025,2024-05-02,37,495,1.5,1559601,No
204,Mahindra,XUV400,PHEV,Karnataka,Bengaluru,2024,2025-08-11,45,465,8.5,4451565,No
205,MG,ZS EV,BEV,Maharashtra,Pune,2023,2024-10-13,55,482,3.5,3067155,Yes
206,MG,ZS EV,BEV,Karnataka,Bengaluru,2025,2024-07-14,59,548,8.5,1898244,No
207,MG,Comet EV,BEV,Karnataka,Bengaluru,2026,2024-08-02,57,521,1.5,2937553,No
208,MG,ZS EV,PHEV,Gujarat,Ahmedabad,2024,2023-08-27,43,492,1.5,806187,Yes
209,BYD,Atto 3,BEV,Karnataka,Bengaluru,2024,2023-04-11,59,275,2.5,776993,No
210,Mahindra,XUV400,PHEV,Maharashtra,Pune,2024,2022-04-11,29,517,5.5,2100891,Yes
211,BYD,Atto 3,PHEV,Gujarat,Ahmedabad,2024,2022-06-02,40,275,8.5,2938398,Yes
212,MG,ZS EV,BEV,Gujarat,Ahmedabad,2025,2025-05-08,76,237,7.5,3014769,Yes
213,Tata,Punch EV,PHEV,Gujarat,Ahmedabad,2025,2022-08-22,21,245,2.5,4114955,No
214,Hyundai,Kona Electric,PHEV,Gujarat,Ahmedabad,2025,2023-10-17,41,531,2.5,2205336,No
215,MG,Comet EV,BEV,Gujarat,Ahmedabad,2025,2023-01-09,41,420,1.5,4326896,Yes
216,MG,ZS EV,PHEV,Maharashtra,Mumbai,2024,2023-10-10,35,421,6.5,1232677,Yes
217,Mahindra,XUV400,BEV,Delhi,New Delhi,2026,2022-07-06,51,531,4.5,3161461,No
218,BYD,Atto 3,PHEV,Gujarat,Ahmedabad,2022,2023-03-09,38,515,2.5,831968,No
219,Mahindra,XUV400,PHEV,Tamil Nadu,Chennai,2024,2022-08-04,58,262,1.5,3021626,Yes
220,MG,ZS EV,BEV,Maharashtra,Pune,2023,2023-06-07,20,485,1.5,749317,No
221,Mahindra,XUV400,BEV,Tamil Nadu,Chennai,2024,2025-05-31,73,529,4.5,3672880,No
222,Hyundai,Kona Electric,PHEV,Maharashtra,Pune,2024,2025-10-28,34,241,2.5,4143316,Yes
223,Mahindra,XUV400,BEV,Maharashtra,Pune,2025,2024-12-18,46,354,6.5,1117098,No
224,Mahindra,XUV400,PHEV,Tamil Nadu,Chennai,2023,2023-12-13,42,294,6.5,2407504,No
225,MG,ZS EV,BEV,Maharashtra,Pune,2025,2024-02-09,44,547,8.5,3140847,No
226,Hyundai,Kona Electric,PHEV,Maharashtra,Pune,2023,2024-03-26,74,360,1.5,2557889,No
227,MG,ZS EV,PHEV,Gujarat,Ahmedabad,2025,2022-07-03,35,194,2.5,1649486,Yes
228,Mahindra,XUV400,BEV,Maharashtra,Mumbai,2024,2024-04-24,75,245,3.5,4120989,No
229,MG,Comet EV,PHEV,Gujarat,Ahmedabad,2025,2024-04-21,28,355,1.5,3235674,Yes
230,Mahindra,XUV400,PHEV,Karnataka,Bengaluru,2026,2023-08-16,80,438,4.5,3177085,No
231,Tata,Nexon EV,PHEV,Karnataka,Bengaluru,2023,2023-11-03,20,465,5.5,1906271,Yes
232,Mahindra,XUV400,PHEV,Karnataka,Bengaluru,2023,2022-12-22,31,379,4.5,3522008,Yes
233,BYD,Atto 3,BEV,Karnataka,Bengaluru,2023,2023-01-25,70,381,2.5,2194586,Yes
234,Tata,Nexon EV,PHEV,Gujarat,Ahmedabad,2023,2024-10-01,54,318,7.5,2658751,Yes
235,MG,Comet EV,PHEV,Maharashtra,Pune,2022,2022-01-14,24,212,6.5,1362942,No
236,MG,Comet EV,BEV,Maharashtra,Mumbai,2026,2022-06-07,80,287,5.5,1078281,Yes
237,Hyundai,Kona Electric,PHEV,Maharashtra,Mumbai,2026,2025-06-20,21,450,5.5,3158666,No
238,BYD,Atto 3,BEV,Delhi,New Delhi,2025,2024-10-28,56,190,2.5,835714,No
239,Mahindra,XUV400,BEV,Gujarat,Ahmedabad,2025,2025-01-11,24,478,7.5,2970656,Yes
240,Kia,EV6,PHEV,Delhi,New Delhi,2025,2023-06-28,71,484,2.5,2948459,No
241,Mahindra,XUV400,PHEV,Maharashtra,Pune,2024,2024-02-28,28,467,7.5,1509932,Yes
242,Tata,Punch EV,BEV,Delhi,New Delhi,2026,2025-02-24,41,197,6.5,2148560,No
243,Kia,EV6,PHEV,Maharashtra,Pune,2024,2024-04-07,42,393,6.5,3590435,No
244,MG,ZS EV,BEV,Tamil Nadu,Chennai,2024,2025-03-22,45,392,1.5,4017356,Yes
245,Tata,Punch EV,BEV,Karnataka,Bengaluru,2025,2025-07-17,38,390,1.5,2941880,No
246,Hyundai,Kona Electric,PHEV,Tamil Nadu,Chennai,2025,2024-11-27,27,347,5.5,4410939,Yes
247,Hyundai,Kona Electric,PHEV,Gujarat,Ahmedabad,2026,2022-11-29,50,187,6.5,3732070,Yes
248,Tata,Nexon EV,BEV,Delhi,New Delhi,2025,2022-06-21,74,507,2.5,3112769,No
249,Tata,Punch EV,BEV,Karnataka,Bengaluru,2023,2024-02-15,34,436,4.5,2760866,Yes
250,MG,Comet EV,PHEV,Karnataka,Bengaluru,2024,2024-01-15,23,424,2.5,2706512,Yes
251,Hyundai,Kona Electric,BEV,Tamil Nadu,Chennai,2024,2025-09-21,74,436,3.5,4406158,Yes
252,Mahindra,XUV400,PHEV,Gujarat,Ahmedabad,2023,2023-10-23,49,485,4.5,834684,No
253,MG,Comet EV,PHEV,Gujarat,Ahmedabad,2024,2023-06-19,23,487,2.5,1246828,Yes
